Start Date Month,Start Date Dayofweek,Start Date is weekend,Start Date quarter,lag_1_sessions,lag_7_sessions,rolling_7_mean,rolling_7_std
8,4,0,3,2.0,1.0,2.2857142857142856,1.496026483086153
8,5,1,3,2.0,5.0,2.4285714285714284,1.397276262011505
8,6,1,3,3.0,3.0,2.142857142857143,0.8997354108423703
8,0,0,3,1.0,1.0,1.8571428571428572,0.8997354108423636
8,1,0,3,1.0,2.0,2.142857142857143,1.0690449676496976
8,1,0,3,3.0,1.0,2.142857142857143,0.8997354108423703
8,2,0,3,3.0,3.0,2.4285714285714284,0.786795792469374
8,2,0,3,2.0,2.0,2.142857142857143,1.0690449676496976
8,3,0,3,1.0,2.0,2.142857142857143,0.8997354108423703
8,3,0,3,1.0,2.0,2.0,1.1547005383792515
8,4,0,3,3.0,2.0,2.2857142857142856,0.9511897312112816
8,4,0,3,1.0,3.0,1.8571428571428572,1.2149857925879117
8,5,1,3,1.0,3.0,2.142857142857143,1.0690449676496412
8,5,1,3,2.0,4.0,1.7142857142857142,1.1126972805283737
8,6,1,3,2.0,1.0,2.0,0.9999999999999367
8,6,1,3,2.0,1.0,1.4285714285714286,0.5345224838248487
8,0,0,3,2.0,3.0,2.142857142857143,0.8997354108423703
8,0,0,3,1.0,1.0,1.4285714285714286,0.5345224838248487
8,1,0,3,4.0,2.0,1.8571428571428572,1.0690449676496974
8,1,0,3,1.0,3.0,1.8571428571428572,0.8997354108423637
8,2,0,3,5.0,1.0,2.142857142857143,1.4638501094227585
8,2,0,3,1.0,1.0,1.7142857142857142,1.1126972805283735
8,3,0,3,1.0,3.0,2.142857142857143,1.4638501094227585
8,3,0,3,3.0,1.0,2.0,1.1547005383792515
8,4,0,3,1.0,2.0,2.0,1.1547005383792515
8,4,0,3,6.0,1.0,2.5714285714285716,2.0701966780270378
8,5,1,3,3.0,2.0,2.857142857142857,1.951800145897043
8,5,1,3,3.0,2.0,2.142857142857143,1.2149857925879117
8,6,1,3,2.0,2.0,2.857142857142857,1.951800145897043
8,6,1,3,1.0,1.0,2.0,1.2909944487358054
8,0,0,3,2.0,1.0,2.857142857142857,1.951800145897043
8,0,0,3,3.0,4.0,2.2857142857142856,1.2535663410560174
8,1,0,3,1.0,1.0,1.8571428571428572,1.0690449676496974
8,1,0,3,2.0,5.0,3.0,1.8257418583505305
8,2,0,3,2.0,1.0,2.5714285714285716,1.6183471874253423
8,2,0,3,3.0,3.0,2.142857142857143,1.0690449676496974
